province,schools,registrySchools,inactiveSchools,locatedSchools,campusLocatedSchools,districtEvidenceOnly,missingSchools,pendingBoundarySchools,campuses,campusRecordsWithLowestLegalBoundary,campusLocationGaps,campusLocationGapsVerified,campusLocationGapsProfile,districtAssociations,districts,allDistricts,verifiedRecords
北京市,92,92,0,92,92,0,0,0,209,207,2,0,2,1,15,16,6
天津市,57,57,0,57,57,0,0,0,126,119,7,0,7,0,16,16,3
河北省,131,132,1,131,131,0,0,0,345,290,55,0,55,4,66,167,4
山西省,84,84,0,84,84,0,0,0,194,165,29,0,29,2,33,117,2
内蒙古自治区,52,54,2,52,52,0,0,0,115,98,17,0,17,0,28,103,4
辽宁省,112,115,3,112,111,1,0,0,237,212,25,0,25,2,49,100,8
吉林省,68,68,0,68,68,0,0,0,166,135,31,0,31,0,28,60,1
黑龙江省,81,81,0,81,81,0,0,0,149,135,14,0,14,2,37,122,3
上海市,67,69,2,67,67,0,0,0,187,182,5,0,5,0,16,16,1
江苏省,174,175,1,174,174,0,0,0,429,379,50,0,50,1,70,95,19
浙江省,111,111,0,111,111,0,0,0,286,262,24,0,24,0,62,90,20
安徽省,126,126,0,126,125,1,0,0,287,223,64,0,64,1,53,104,6
福建省,90,90,0,90,90,0,0,0,208,196,12,0,12,0,47,84,11
江西省,120,120,0,120,119,1,0,0,271,216,55,0,55,3,44,100,1
山东省,170,171,1,170,170,0,0,0,412,359,53,0,53,5,82,136,19
河南省,182,182,0,182,182,0,0,0,427,359,68,0,68,3,82,157,25
湖北省,134,134,0,134,134,0,0,0,262,232,30,0,30,0,48,103,5
湖南省,147,148,1,147,147,0,0,0,307,299,8,0,8,1,52,122,20
广东省,165,167,2,165,165,0,0,0,433,417,16,0,16,1,68,124,14
广西壮族自治区,93,93,0,93,93,0,0,0,226,201,25,0,25,4,41,111,2
海南省,29,29,0,29,29,0,0,0,48,46,2,0,2,0,15,26,1
重庆市,77,77,0,77,77,0,0,0,170,163,7,0,7,2,24,38,3
四川省,146,146,0,146,146,0,0,0,361,329,32,0,32,1,78,183,12
贵州省,80,80,0,80,80,0,0,0,173,163,10,0,10,0,28,88,2
云南省,90,91,1,90,90,0,0,0,198,176,22,0,22,0,33,129,5
西藏自治区,7,7,0,7,7,0,0,0,16,13,3,0,3,1,3,74,0
陕西省,97,99,2,97,97,0,0,0,244,208,36,0,36,0,36,107,6
甘肃省,49,49,0,49,49,0,0,0,110,99,11,0,11,0,25,87,1
青海省,13,13,0,13,13,0,0,0,28,22,6,0,6,0,8,45,0
宁夏回族自治区,24,24,0,24,24,0,0,0,47,46,1,0,1,1,10,22,0
新疆维吾尔自治区,67,68,1,67,67,0,0,2,147,139,8,0,8,0,41,106,5
台湾省,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香港特别行政区,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
澳门特别行政区,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
