province,schools,registrySchools,inactiveSchools,locatedSchools,campusLocatedSchools,districtEvidenceOnly,missingSchools,pendingBoundarySchools,campuses,campusRecordsWithLowestLegalBoundary,campusLocationGaps,campusLocationGapsVerified,campusLocationGapsProfile,districtAssociations,districts,allDistricts,verifiedRecords
北京市,92,92,0,92,92,0,0,0,209,207,2,0,2,1,15,16,6
天津市,57,57,0,57,57,0,0,0,126,119,7,0,7,0,16,16,3
河北省,131,132,1,131,131,0,0,0,345,300,45,0,45,4,67,167,12
山西省,84,84,0,84,84,0,0,0,194,176,18,0,18,2,33,117,12
内蒙古自治区,52,54,2,52,52,0,0,0,115,98,17,0,17,0,28,103,4
辽宁省,111,115,4,111,111,0,0,0,237,213,24,0,24,2,49,100,9
吉林省,68,68,0,68,68,0,0,0,166,138,28,0,28,0,28,60,4
黑龙江省,81,81,0,81,81,0,0,0,149,136,13,0,13,2,37,122,4
上海市,67,69,2,67,67,0,0,0,187,182,5,0,5,0,16,16,1
江苏省,174,175,1,174,174,0,0,0,429,387,42,0,42,1,70,95,27
浙江省,111,111,0,111,111,0,0,0,286,266,20,0,20,0,62,90,24
安徽省,126,126,0,126,126,0,0,0,288,247,41,0,41,1,53,104,28
福建省,90,90,0,90,90,0,0,0,208,199,9,0,9,0,47,84,14
江西省,120,120,0,120,119,1,0,0,271,222,49,0,49,3,44,100,7
山东省,170,171,1,170,170,0,0,0,412,373,39,0,39,5,82,136,33
河南省,182,182,0,182,182,0,0,0,427,371,56,0,56,3,82,157,37
湖北省,134,134,0,134,134,0,0,0,262,240,22,0,22,0,48,103,13
湖南省,147,148,1,147,147,0,0,0,307,300,7,0,7,1,52,122,21
广东省,165,167,2,165,165,0,0,0,433,418,15,0,15,1,68,124,14
广西壮族自治区,93,93,0,93,93,0,0,0,226,216,10,0,10,4,41,111,17
海南省,29,29,0,29,29,0,0,0,48,47,1,0,1,0,15,26,2
重庆市,77,77,0,77,77,0,0,0,170,165,5,0,5,2,24,38,5
四川省,146,146,0,146,146,0,0,0,361,333,28,0,28,1,78,183,15
贵州省,80,80,0,80,80,0,0,0,173,163,10,0,10,0,28,88,2
云南省,90,91,1,90,90,0,0,0,198,180,18,0,18,0,33,129,9
西藏自治区,7,7,0,7,7,0,0,0,16,15,1,0,1,1,3,74,1
陕西省,97,99,2,97,97,0,0,0,244,215,29,0,29,0,36,107,13
甘肃省,49,49,0,49,49,0,0,0,110,101,9,0,9,0,25,87,3
青海省,13,13,0,13,13,0,0,0,28,22,6,0,6,0,8,45,0
宁夏回族自治区,24,24,0,24,24,0,0,0,47,46,1,0,1,1,10,22,0
新疆维吾尔自治区,67,68,1,67,67,0,0,2,147,140,7,0,7,0,41,106,6
台湾省,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香港特别行政区,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
澳门特别行政区,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
